"","main","clark","stage","age","gender","","","",""
"HID1",0.004,0,0,0,0,0.7383,0.1778,0.3133,-0.2803
"TSACC",0.1287,0,0,0,0,0.7612,0.1882,0.2798,0.0828
"CHTOP",5e-04,0,0,0,0,0.5041,0.1412,-0.1051,0.0137
"C21ORF2",0.0013,0,0,0,0,0.8648,0.205,0.0818,0.0636
"PTRHD1",0.0022,0,0,0,0,0.3375,0.4361,0.0891,0.216
"LSMEM2",0.1355,0,0,0,0,0.8265,0.2981,0.1166,0.1082
"FAM212A",0.0036,0,0,0,0,0.4899,0.2286,0.1251,-0.0633
"C5ORF15",4e-04,0,0,0,0,0.8278,0.4315,0.1835,0.0238
"UQCC2",6e-04,0,0,0,0,0.4706,0.373,0.0368,-0.087
"C8ORF4",0.0022,0,0,0,0,0.7263,0.2525,0.2717,0.1346
"C9ORF142",0.0016,0,0,0,0,0.7894,0.3444,0.1131,-0.0762
"C9ORF24",0.1277,0,0,0,0,0.8659,0.071,0.3377,0.1755
"KIAA0829",3e-04,0,0,0,0,0.8705,0.3726,0.4602,0.0293
"CARHSP1",8e-04,0,0,0,0,0.8796,0.0818,0.1235,-0.1296
"CCDC153",0.1477,0,0,0,0,0.8068,0.0194,0.1939,0.0083
"CCDC90B",0.0013,0,0,0,0,0.9163,0.2145,0.0411,-0.1471
"CCL15",0.1788,0,0,0,0,0.5994,0.184,0.2674,0.0327
"CCS",0.0014,0,0,0,0,0.6967,0.5539,0.1281,-0.1135
"CCT2",2e-04,0,0,0,0,0.9405,0.2039,0.0488,-0.2908
"CEACAM8",1.1018,0,0,0,0,0.8166,0.1092,0.2429,0.0594
"CHP1",2e-04,0,0,0,0,0.9521,-0.0226,-0.0403,-0.178
"CHRNA10",0.0766,0,0,0,0,0.8638,0.2208,0.0306,-0.1857
"CLDN6",0.1553,0,0,0,0,0.5259,0.1366,0.105,-0.0065
"CLNS1A",4e-04,0,0,0,0,1.0181,0.2288,0.0086,0.0834
"CLTB",5e-04,0,0,0,0,0.8496,0.404,0.1673,-0.0892
"HSPC131",7e-04,0,0,0,0,1.1728,-0.0505,0.2213,-0.2076
"CNPY3",3e-04,0,0,0,0,0.5566,0.362,0.2102,0.2231
"CRADD",0.0044,0,0,0,0,0.7294,0.1809,0.1776,-0.0983
"CWC22",0.0013,0,0,0,0,0.7142,0.4278,0.2251,-0.0402
"DACT2",0.0063,0,0,0,0,0.5328,0.1324,0.1491,-0.0295
"DAG1",1e-04,0,0,0,0,0.5252,0.2298,-0.0883,-0.1788
"DBX2",0.5329,0,0,0,0,0.5168,0.1271,0.1767,-0.0574
"DCLRE1A",0.0027,0,0,0,0,0.9483,0.2896,0.1984,-0.1036
"DCTN2",3e-04,0,0,0,0,0.8493,0.2637,0.3281,-0.1521
"DCUN1D5",0.0018,0,0,0,0,0.9756,0.2748,-0.0762,0.3218
"DDAH2",6e-04,0,0,0,0,0.4818,0.369,0.3222,-0.0107
"DEDD",0.001,0,0,0,0,0.5868,0.3024,-0.3214,-0.0023
"DEXI",8e-04,0,0,0,0,0.7876,0.1971,0.1282,0.1544
"DKK2",0.0097,0,0,0,0,0.6648,0.2369,0.2794,-0.2273
"DLG2",0.0204,0,0,0,0,0.8769,0.119,0.298,-0.1248
"DNM1L",5e-04,0,0,0,0,1.078,0.1191,0.0801,0.0842
"DTX3",0.001,0,0,0,0,0.8603,-0.092,0.3189,-0.0917
"DUSP1",3e-04,0,0,0,0,0.7226,0.2352,0.2023,-0.2608
"DYRK2",9e-04,0,0,0,0,0.8844,0.035,0.4068,-0.0344
"EHD4",4e-04,0,0,0,0,0.6595,0.0945,0.1324,-0.0808
"EIF3E",1e-04,0,0,0,0,0.9429,0.2243,0.0234,0.0746
"EIF3H",2e-04,0,0,0,0,0.8408,0.4102,-0.0173,-0.0412
"ELOVL2",4e-04,0,0,0,0,0.9594,0.1321,0.0644,0.0033
"ENDOD1",3e-04,0,0,0,0,0.5547,-0.0412,0.2083,-0.0016
"ERGIC2",0.0012,0,0,0,0,0.741,0.4447,0.3767,0.0469
"ETFA",6e-04,0,0,0,0,0.6976,-0.3073,0.0426,-0.0063
"EXOC3",6e-04,0,0,0,0,0.9815,0.4786,0.0222,0.0357
"FAHD2A",0.0013,0,0,0,0,0.6388,0.1565,0.4112,0.0555
