"","main","clark","stage","age","gender","","","",""
"SNCB",0,0.4049,0,0,0,0.5643,0.3044,0.1339,-0.0092
"SNRPA",0,0.7638,0,0,0,0.1047,0.4498,0.101,-0.0049
"SNRPF",0,0.7605,0,0,0,0.1395,0.3429,0.1002,-0.0119
"SYCE2",0,0.458,0,0,0,0.4534,0.5308,0.1771,-0.0133
"SYM",0,0.5227,0,0,0,0.2298,0.2998,0.0877,-0.0226
"SYNGR4",0,0.3395,0,0,0,0.5586,0.2658,0.1768,-0.1978
"TFAMP1",0,0.3467,0,0,0,0.5804,0.3151,0.0905,-0.136
"TMEM160",0,0.4724,0,0,0,0.4225,0.4362,0.29,-0.0981
"TMPRSS5",0,0.8049,0,0,0,0.3706,0.3039,0.1133,-0.0193
"U2AFBP",0,0.8249,0,0,0,-0.0222,0.3363,0.0952,0.0608
"WASH3P",0,0.7346,0,0,0,0.1777,0.3644,-0.0201,0.0096
