"","main","clark","stage","age","gender","clark","stage","age","gender"
"MDM1",-0.2192,0.1727,0,0,0,0.8026,0.1088,0.214,0.0102
"MTX3",-0.0874,0,0,0,0,0.7899,0.0982,0.1622,0.0076
"MYOD1",-0.5582,0.4621,0,0,0,0.97,0.1047,0.1786,0.0134
"NYX",0,0.3387,0,0,0,0.7971,0.0999,0.1718,0.0082
"OLFML2B",-0.1275,0,0,0,0,0.8271,0.098,0.1751,0.0043
"SLC51A",-0.0702,0,0,0,0,0.8164,0.0995,0.1823,0.0225
"PCM1",-0.0164,0,0,0,0,0.822,0.0993,0.1785,0.0208
"PER1",-0.2753,0,0,0,0,0.7853,0.0616,0.1566,0.0146
"PIGB",0.0098,0,0,0,0,0.8396,0.1054,0.1781,0.0269
"PIGH",0.1229,0,0,0,0,0.8422,0.1182,0.1647,0.0231
"PITPNA",0.0741,0,0,0,0,0.8025,0.1222,0.1868,-0.0125
"PLK3",-0.0411,0,0,0,0,0.8209,0.0989,0.1716,0.0163
"PNMT",-0.1352,0,0,0,0,0.8125,0.1043,0.1778,0.0167
"PPP1R14A",-0.454,0.442,0,0,0,0.7315,0.1384,0.1775,0.029
"PTP4A3",-0.029,0,0,0,0,0.8178,0.1093,0.1735,0.0205
"PTPRB",-0.0868,0,0,0,0,0.829,0.108,0.1716,0.0177
"PXDNL",-0.1556,-0.0733,0,0,0,0.8306,0.1146,0.169,0.0082
"SCAI",-0.116,0,0,0,0,0.8176,0.0889,0.1729,0.0139
"SCRT1",-0.0908,0,0,0,0,0.8238,0.1088,0.1704,0.0234
"SCX",-0.1708,0,0,0,0,0.8265,0.1009,0.1885,0.012
"SEMA6C",-0.16,0,0,0,0,0.8184,0.0934,0.1622,0.0181
"SHOC2",-0.1629,0,0,0,0,0.8164,0.1095,0.1733,-0.004
"SMC3",-0.0746,0,0,0,0,0.8068,0.1023,0.1685,2e-04
"SMNDC1",-0.0999,0,0,0,0,0.8271,0.1078,0.1672,0.0087
"SSTR2",-0.1358,0,0,0,0,0.8178,0.1139,0.1946,0.0282
"STX3",0.172,0,0,0,0,0.8056,0.1127,0.1222,0.0293
"SULF1",-0.1105,0,0,0,0,0.8224,0.108,0.1584,0.0219
"SUPT7L",-0.1412,0,0,0,0,0.7985,0.134,0.1747,0.0194
"THADA",-0.103,0,0,0,0,0.7951,0.1162,0.1549,0.0368
"C13orf20",-0.092,0,0,0,0,0.8154,0.1043,0.1606,0.0209
"UGDH",-0.0949,0,0,0,0,0.8127,0.1256,0.1676,0.0252
"C6orf46",-0.054,0,0,0,0,0.8327,0.1007,0.1553,0.024
"ZDHHC5",0.0993,0,0,0,0,0.8465,0.1086,0.1786,0.0161
"ZNF579",0,0.3231,0,0,0,0.7578,0.0887,0.1498,-0.0354
"ZP4",0.2291,0.7183,0,0,0,0.8622,0.1035,0.1722,-0.0122
"EFCAB8",0,0.24,-0.2905,0,0,0.8312,0.1157,0.1955,0.0389
"AAGAB",0.076,0,0,0,0,0.8519,0.0961,0.1818,0.023
"ABCB1",-0.1328,0,0,0,0,0.8258,0.0917,0.1646,0.0168
"ABTB2",0.0213,0,0,0,0,0.8318,0.1024,0.1844,0.0197
"ACAD9",-0.0106,0,0,0,0,0.8073,0.1057,0.1662,0.0229
"ACAN",-0.1685,0,0,0,0,0.825,0.1093,0.1778,0.0142
"ACTA2",-0.1522,0,0,0,0,0.7945,0.1061,0.1747,0.015
"CAR10",-0.1999,0,0,0,0,0.8326,0.1257,0.1475,0.026
"MDC2",-0.0824,0,0,0,0,0.827,0.101,0.1586,0.0043
"ADCY9",0.028,0,0,0,0,0.8164,0.1057,0.1811,0.0267
"ADD3",-0.0114,0,0,0,0,0.832,0.1024,0.1714,0.0182
"ADPRHL2",-0.0401,0,0,0,0,0.8315,0.0932,0.1879,0.0223
"AEBP2",-0.0651,0,0,0,0,0.8069,0.1126,0.1762,0.0159
"AFAP1",-0.0521,0,0,0,0,0.823,0.107,0.168,0.0263
"PBM1",-0.0554,0,0,0,0,0.826,0.1117,0.1947,0.0195
"AFTPH",0.0038,0,0,0,0,0.8277,0.103,0.1784,0.0182
"AGER",-0.1881,0,0,0,0,0.8132,0.0942,0.1996,0.0346
"HYKK",0.0314,0,0,0,0,0.8114,0.1157,0.1902,0.0249
"AK2",0.0731,0,0,0,0,0.8271,0.1084,0.1649,0.0393
"AKAP11",-0.0522,0,0,0,0,0.8261,0.1107,0.1617,0.0155
"GRAVIN",-0.0943,0,0,0,0,0.8372,0.0957,0.1575,0.0089
"ANKRD19P",0,0.334,0,0,0,0.7471,0.1166,0.1419,-0.0068
"ANKRD28",0,-0.21,0,0,0,0.7799,0.1053,0.1529,0.0179
"ANO10",0,-0.0795,0,0,0,0.8304,0.1084,0.1663,0.018
"AOC3",-0.1509,0,0,0,0,0.8084,0.1045,0.1674,0.0157
